SRR,GSM,modality,origin,library_number,n_donors
SRR22105509,GSM6697222,GEX,PBMC,1,2
SRR22105510,GSM6697222,GEX,PBMC,1,2
SRR22105507,GSM6697223,GEX,SFMC,2,2
SRR22105508,GSM6697223,GEX,SFMC,2,2
SRR22105505,GSM6697224,GEX,SFMC,3,2
SRR22105506,GSM6697224,GEX,SFMC,3,2
SRR22105504,GSM6697225,VDJ-T,PBMC,1,2
SRR22105503,GSM6697226,VDJ-T,SFMC,2,2
SRR22105502,GSM6697227,VDJ-T,SFMC,3,2
SRR22105498,GSM6697228,GEX,Paired,4,3
SRR22105499,GSM6697228,GEX,Paired,4,3
SRR22105500,GSM6697228,GEX,Paired,4,3
SRR22105501,GSM6697228,GEX,Paired,4,3
SRR22105494,GSM6697229,GEX,Paired,5,3
SRR22105495,GSM6697229,GEX,Paired,5,3
SRR22105496,GSM6697229,GEX,Paired,5,3
SRR22105497,GSM6697229,GEX,Paired,5,3
SRR22105490,GSM6697230,GEX,Paired,6,3
SRR22105491,GSM6697230,GEX,Paired,6,3
SRR22105492,GSM6697230,GEX,Paired,6,3
SRR22105493,GSM6697230,GEX,Paired,6,3
SRR22105486,GSM6697231,GEX,Paired,7,3
SRR22105487,GSM6697231,GEX,Paired,7,3
SRR22105488,GSM6697231,GEX,Paired,7,3
SRR22105489,GSM6697231,GEX,Paired,7,3
SRR22105482,GSM6697232,VDJ-T,Paired,4,3
SRR22105483,GSM6697232,VDJ-T,Paired,4,3
SRR22105484,GSM6697232,VDJ-T,Paired,4,3
SRR22105485,GSM6697232,VDJ-T,Paired,4,3
SRR22105478,GSM6697233,VDJ-T,Paired,5,3
SRR22105479,GSM6697233,VDJ-T,Paired,5,3
SRR22105480,GSM6697233,VDJ-T,Paired,5,3
SRR22105481,GSM6697233,VDJ-T,Paired,5,3
SRR22105474,GSM6697234,VDJ-T,Paired,6,3
SRR22105475,GSM6697234,VDJ-T,Paired,6,3
SRR22105476,GSM6697234,VDJ-T,Paired,6,3
SRR22105477,GSM6697234,VDJ-T,Paired,6,3
SRR22105470,GSM6697235,VDJ-T,Paired,7,3
SRR22105471,GSM6697235,VDJ-T,Paired,7,3
SRR22105472,GSM6697235,VDJ-T,Paired,7,3
SRR22105473,GSM6697235,VDJ-T,Paired,7,3
SRR22105380,GSM6697273,ADT,PBMC,1,2
SRR22105379,GSM6697274,ADT,SFMC,2,2
SRR22105378,GSM6697275,ADT,SFMC,3,2
